index,Ag,Au,Pd,Composition,Similarity_to_Resistance
185,55.3,16.62,28.08,Ag55.30Au16.62Pd28.08,0.2674626
186,50.83,18.26,30.91,Ag50.83Au18.26Pd30.91,0.26793408
187,46.63,19.94,33.44,Ag46.63Au19.94Pd33.44,0.26821154
188,42.4,21.49,36.1,Ag42.40Au21.49Pd36.10,0.26847792
189,38.29,22.91,38.81,Ag38.29Au22.91Pd38.81,0.2687074
190,34.9,24.26,40.83,Ag34.90Au24.26Pd40.83,0.26871878
191,31.05,25.52,43.43,Ag31.05Au25.52Pd43.43,0.26881912
192,28.52,26.69,44.79,Ag28.52Au26.69Pd44.79,0.26864547
193,24.82,28.08,47.1,Ag24.82Au28.08Pd47.10,0.268509
194,22.75,28.7,48.55,Ag22.75Au28.70Pd48.55,0.26848695
195,19.55,29.94,50.5,Ag19.55Au29.94Pd50.50,0.2682448
196,17.55,30.42,52.03,Ag17.55Au30.42Pd52.03,0.26822945
197,16.07,30.71,53.22,Ag16.07Au30.71Pd53.22,0.26823634
198,14.03,31.6,54.38,Ag14.03Au31.60Pd54.38,0.26795736
199,79.02,7.32,13.65,Ag79.02Au7.32Pd13.65,0.26387665
200,76.77,7.99,15.25,Ag76.77Au7.99Pd15.25,0.26444328
201,73.35,9.16,17.49,Ag73.35Au9.16Pd17.49,0.26516443
202,70.37,10.26,19.38,Ag70.37Au10.26Pd19.38,0.26571596
203,67.22,11.39,21.39,Ag67.22Au11.39Pd21.39,0.26627365
204,63.1,12.95,23.95,Ag63.10Au12.95Pd23.95,0.2668984
205,59.39,14.42,26.18,Ag59.39Au14.42Pd26.18,0.26735842
206,55.25,15.68,29.07,Ag55.25Au15.68Pd29.07,0.26802793
207,50.64,17.48,31.87,Ag50.64Au17.48Pd31.87,0.2684431
208,46.23,18.97,34.8,Ag46.23Au18.97Pd34.80,0.2688835
209,42.25,20.02,37.73,Ag42.25Au20.02Pd37.73,0.26936215
210,37.99,21.87,40.14,Ag37.99Au21.87Pd40.14,0.26936978
211,34.51,23.21,42.28,Ag34.51Au23.21Pd42.28,0.26940238
212,31.69,24.57,43.73,Ag31.69Au24.57Pd43.73,0.26922482
213,27.65,25.47,46.87,Ag27.65Au25.47Pd46.87,0.26948392
214,24.77,26.98,48.26,Ag24.77Au26.98Pd48.26,0.26913267
215,22.46,27.46,50.08,Ag22.46Au27.46Pd50.08,0.26921648
216,19.53,28.41,52.06,Ag19.53Au28.41Pd52.06,0.269091
217,17.66,29.11,53.24,Ag17.66Au29.11Pd53.24,0.26893532
218,16.08,29.63,54.29,Ag16.08Au29.63Pd54.29,0.2688231
219,14.09,30.26,55.64,Ag14.09Au30.26Pd55.64,0.2686744
220,79.03,6.77,14.2,Ag79.03Au6.77Pd14.20,0.2642021
221,76.3,7.98,15.72,Ag76.30Au7.98Pd15.72,0.2646428
222,73.48,8.77,17.75,Ag73.48Au8.77Pd17.75,0.26534152
223,70.15,9.82,20.03,Ag70.15Au9.82Pd20.03,0.26605836
224,66.48,10.79,22.74,Ag66.48Au10.79Pd22.74,0.26690966
225,62.93,12.25,24.82,Ag62.93Au12.25Pd24.82,0.26736933
226,59.58,13.41,27.01,Ag59.58Au13.41Pd27.01,0.26788366
227,55.53,15.06,29.41,Ag55.53Au15.06Pd29.41,0.26829547
228,50.23,16.7,33.07,Ag50.23Au16.70Pd33.07,0.26901895
229,46.41,17.74,35.84,Ag46.41Au17.74Pd35.84,0.2695329
230,41.99,19.41,38.6,Ag41.99Au19.41Pd38.60,0.26977465
231,38.16,20.93,40.92,Ag38.16Au20.93Pd40.92,0.2698617
232,34.78,21.76,43.45,Ag34.78Au21.76Pd43.45,0.27015328
233,31.31,22.86,45.82,Ag31.31Au22.86Pd45.82,0.27025184
234,27.79,24.43,47.78,Ag27.79Au24.43Pd47.78,0.27003518
235,24.76,25.17,50.07,Ag24.76Au25.17Pd50.07,0.27012548
236,22.11,26.3,51.59,Ag22.11Au26.30Pd51.59,0.26989812
237,20.15,27.05,52.8,Ag20.15Au27.05Pd52.80,0.26975054
238,17.39,27.85,54.75,Ag17.39Au27.85Pd54.75,0.26964027
239,16.01,28.51,55.48,Ag16.01Au28.51Pd55.48,0.2694318
240,14.13,28.76,57.11,Ag14.13Au28.76Pd57.11,0.26947218
241,75.97,7.45,16.58,Ag75.97Au7.45Pd16.58,0.26509312
242,73.34,8.25,18.41,Ag73.34Au8.25Pd18.41,0.26570407
243,70.18,9.51,20.3,Ag70.18Au9.51Pd20.30,0.26622498
244,66.67,10.45,22.88,Ag66.67Au10.45Pd22.88,0.26703286
245,62.69,11.75,25.56,Ag62.69Au11.75Pd25.56,0.26774633
246,59.05,12.96,27.99,Ag59.05Au12.96Pd27.99,0.26832652
247,54.57,14.11,31.32,Ag54.57Au14.11Pd31.32,0.26915205
248,50.63,15.66,33.7,Ag50.63Au15.66Pd33.70,0.26948947
249,46.72,17.04,36.24,Ag46.72Au17.04Pd36.24,0.26984462
250,42.49,18.23,39.27,Ag42.49Au18.23Pd39.27,0.27030683
251,38.4,19.52,42.08,Ag38.40Au19.52Pd42.08,0.27058932
252,34.67,20.78,44.55,Ag34.67Au20.78Pd44.55,0.27071965
253,30.74,22.1,47.16,Ag30.74Au22.10Pd47.16,0.27077788
254,27.09,23.22,49.69,Ag27.09Au23.22Pd49.69,0.27081078
255,25.21,24.15,50.64,Ag25.21Au24.15Pd50.64,0.27060786
256,21.86,25.02,53.11,Ag21.86Au25.02Pd53.11,0.27061656
257,19.96,25.94,54.1,Ag19.96Au25.94Pd54.10,0.27036756
258,17.43,26.63,55.94,Ag17.43Au26.63Pd55.94,0.27028465
259,16.23,26.76,57.01,Ag16.23Au26.76Pd57.01,0.27033484
260,76.5,7.21,16.29,Ag76.50Au7.21Pd16.29,0.26501325
261,73.58,7.88,18.55,Ag73.58Au7.88Pd18.55,0.26582676
262,69.88,8.97,21.15,Ag69.88Au8.97Pd21.15,0.266661
263,66.21,10.08,23.72,Ag66.21Au10.08Pd23.72,0.26742363
264,63.43,10.86,25.71,Ag63.43Au10.86Pd25.71,0.2679933
265,58.3,12.41,29.29,Ag58.30Au12.41Pd29.29,0.26889682
266,54.94,13.23,31.82,Ag54.94Au13.23Pd31.82,0.2695312
267,50.32,14.41,35.27,Ag50.32Au14.41Pd35.27,0.27028862
268,46.68,15.82,37.5,Ag46.68Au15.82Pd37.50,0.27053967
269,42.65,17.07,40.27,Ag42.65Au17.07Pd40.27,0.27091026
270,38.34,18.6,43.07,Ag38.34Au18.60Pd43.07,0.27111137
271,34.83,19.57,45.61,Ag34.83Au19.57Pd45.61,0.27134803
272,31.43,20.71,47.85,Ag31.43Au20.71Pd47.85,0.27139917
273,27.63,22.11,50.25,Ag27.63Au22.11Pd50.25,0.27131572
274,24.88,22.8,52.32,Ag24.88Au22.80Pd52.32,0.2713769
275,22.06,23.48,54.47,Ag22.06Au23.48Pd54.47,0.27140582
276,20.05,24.33,55.61,Ag20.05Au24.33Pd55.61,0.27120233
277,17.64,25.23,57.13,Ag17.64Au25.23Pd57.13,0.2709945
278,16.07,25.5,58.43,Ag16.07Au25.50Pd58.43,0.27100277
279,73.51,7.66,18.83,Ag73.51Au7.66Pd18.83,0.2659802
280,69.82,8.57,21.6,Ag69.82Au8.57Pd21.60,0.2669134
281,66.24,9.33,24.43,Ag66.24Au9.33Pd24.43,0.26784188
282,62.57,10.64,26.8,Ag62.57Au10.64Pd26.80,0.26843107
283,58.57,11.3,30.14,Ag58.57Au11.30Pd30.14,0.2694391
284,54.69,12.68,32.63,Ag54.69Au12.68Pd32.63,0.26992345
285,50.81,13.92,35.27,Ag50.81Au13.92Pd35.27,0.2704177
286,45.95,14.95,39.1,Ag45.95Au14.95Pd39.10,0.27121946
287,42.46,16.16,41.38,Ag42.46Au16.16Pd41.38,0.27145937
288,37.69,17.44,44.87,Ag37.69Au17.44Pd44.87,0.27188504
289,34.57,18.44,46.99,Ag34.57Au18.44Pd46.99,0.27200726
290,30.97,19.68,49.34,Ag30.97Au19.68Pd49.34,0.27203315
291,28.11,20.56,51.34,Ag28.11Au20.56Pd51.34,0.27206117
292,25.39,21.49,53.12,Ag25.39Au21.49Pd53.12,0.27199042
293,22.2,22.36,55.44,Ag22.20Au22.36Pd55.44,0.27196833
294,20.08,22.86,57.07,Ag20.08Au22.86Pd57.07,0.27196068
295,17.97,23.88,58.15,Ag17.97Au23.88Pd58.15,0.2716564
296,69.53,7.93,22.54,Ag69.53Au7.93Pd22.54,0.2673986
297,66.53,9.04,24.43,Ag66.53Au9.04Pd24.43,0.26790023
298,62.26,9.99,27.75,Ag62.26Au9.99Pd27.75,0.26890874
299,58.3,10.76,30.94,Ag58.30Au10.76Pd30.94,0.26983085
300,54.32,11.87,33.82,Ag54.32Au11.87Pd33.82,0.27049506
301,50.37,13.16,36.47,Ag50.37Au13.16Pd36.47,0.27096885
302,45.82,14.26,39.92,Ag45.82Au14.26Pd39.92,0.27163166
303,41.52,15.43,43.06,Ag41.52Au15.43Pd43.06,0.27208674
304,38.38,16.41,45.21,Ag38.38Au16.41Pd45.21,0.2722847
305,34.39,17.44,48.17,Ag34.39Au17.44Pd48.17,0.27257365
306,31.4,18.47,50.14,Ag31.40Au18.47Pd50.14,0.27259615
307,27.87,19.24,52.88,Ag27.87Au19.24Pd52.88,0.27278352
308,24.91,20.12,54.97,Ag24.91Au20.12Pd54.97,0.27276546
309,21.96,21.09,56.94,Ag21.96Au21.09Pd56.94,0.27264547
310,20.12,22.2,57.68,Ag20.12Au22.20Pd57.68,0.2722912
311,65.61,8.68,25.71,Ag65.61Au8.68Pd25.71,0.26844686
312,61.63,9.63,28.74,Ag61.63Au9.63Pd28.74,0.2693333
313,57.99,10.49,31.51,Ag57.99Au10.49Pd31.51,0.27008224
314,54.1,11.19,34.71,Ag54.10Au11.19Pd34.71,0.27093768
315,49.66,12.53,37.81,Ag49.66Au12.53Pd37.81,0.27151933
316,45.87,13.33,40.8,Ag45.87Au13.33Pd40.80,0.27212256
317,41.77,14.38,43.85,Ag41.77Au14.38Pd43.85,0.27258724
318,38.18,15.37,46.45,Ag38.18Au15.37Pd46.45,0.2728802
319,34.3,16.66,49.05,Ag34.30Au16.66Pd49.05,0.27300185
320,31.12,17.23,51.65,Ag31.12Au17.23Pd51.65,0.2732873
321,28.15,18.14,53.72,Ag28.15Au18.14Pd53.72,0.2733072
322,25.35,19.15,55.5,Ag25.35Au19.15Pd55.50,0.27319893
323,21.99,19.88,58.12,Ag21.99Au19.88Pd58.12,0.2732507
324,61.82,8.93,29.25,Ag61.82Au8.93Pd29.25,0.26966092
325,57.83,9.88,32.28,Ag57.83Au9.88Pd32.28,0.27047455
326,53.53,10.8,35.67,Ag53.53Au10.80Pd35.67,0.27132657
327,49.68,11.89,38.43,Ag49.68Au11.89Pd38.43,0.2718621
328,45.3,12.41,42.29,Ag45.30Au12.41Pd42.29,0.2727631
329,41.17,13.48,45.35,Ag41.17Au13.48Pd45.35,0.27320406
330,37.37,14.71,47.91,Ag37.37Au14.71Pd47.91,0.27339655
331,34.5,15.32,50.19,Ag34.50Au15.32Pd50.19,0.27365738
332,30.66,16.16,53.19,Ag30.66Au16.16Pd53.19,0.27391234
333,27.83,16.76,55.41,Ag27.83Au16.76Pd55.41,0.27405065
334,24.51,17.98,57.51,Ag24.51Au17.98Pd57.51,0.27389544
335,53.57,10.01,36.42,Ag53.57Au10.01Pd36.42,0.27174532
336,49.52,10.94,39.54,Ag49.52Au10.94Pd39.54,0.27241945
337,45.54,12.03,42.43,Ag45.54Au12.03Pd42.43,0.27290344
338,40.62,12.74,46.64,Ag40.62Au12.74Pd46.64,0.27371573
339,37.68,13.85,48.47,Ag37.68Au13.85Pd48.47,0.27377877
340,33.99,14.28,51.73,Ag33.99Au14.28Pd51.73,0.2742815
341,30.9,15.08,54.01,Ag30.90Au15.08Pd54.01,0.27441353
