index,Composition,Similarity_to_Resistance,SourceFile,Folder
23,Ru10.00Rh26.30Pd13.40Ir43.40Pt6.90,0.55602264,edx_cleaned.csv,0010374
9,Ru11.30Rh31.90Pd11.10Ir38.40Pt7.30,0.5532977,edx_cleaned.csv,0010374
10,Ru9.80Rh29.70Pd12.70Ir40.90Pt6.80,0.5527991,edx_cleaned.csv,0010374
22,Ru11.20Rh28.20Pd13.20Ir40.30Pt7.00,0.55259603,edx_cleaned.csv,0010374
38,Ru10.00Rh21.60Pd16.70Ir44.80Pt7.00,0.5513888,edx_cleaned.csv,0010374
55,Ru9.90Rh19.10Pd17.70Ir46.00Pt7.20,0.5511099,edx_cleaned.csv,0010374
54,Ru10.60Rh21.10Pd16.60Ir43.40Pt8.20,0.5507574,edx_cleaned.csv,0010374
8,Ru12.80Rh33.10Pd11.20Ir35.30Pt7.60,0.5487886,edx_cleaned.csv,0010374
324,Au13.81Cu16.46Pd13.44Pt56.28,0.35867858,EDX_0010399_Au-Cu-Pd-Pt_asdepo.csv,0010399
311,Au17.04Cu14.69Pd13.50Pt54.76,0.3576359,EDX_0010399_Au-Cu-Pd-Pt_asdepo.csv,0010399
335,Au11.33Cu17.67Pd14.84Pt56.16,0.357627,EDX_0010399_Au-Cu-Pd-Pt_asdepo.csv,0010399
325,Au13.48Cu16.55Pd15.23Pt54.73,0.35620353,EDX_0010399_Au-Cu-Pd-Pt_asdepo.csv,0010399
312,Au15.59Cu15.89Pd14.29Pt54.22,0.35538864,EDX_0010399_Au-Cu-Pd-Pt_asdepo.csv,0010399
279,Au22.26Cu12.25Pd13.06Pt52.42,0.3551529,EDX_0010399_Au-Cu-Pd-Pt_asdepo.csv,0010399
296,Au19.28Cu14.15Pd13.57Pt53.00,0.35443228,EDX_0010399_Au-Cu-Pd-Pt_asdepo.csv,0010399
326,Au12.39Cu18.17Pd15.61Pt53.83,0.35229808,EDX_0010399_Au-Cu-Pd-Pt_asdepo.csv,0010399
341,Ag22.05Au7.69Pd19.83Pt50.43,0.37925327,0010402_Ag-Au-Pd-Pt_EDX.csv,0010402
339,Ag24.61Au8.98Pd16.72Pt49.69,0.376722,0010402_Ag-Au-Pd-Pt_EDX.csv,0010402
338,Ag26.29Au9.60Pd14.03Pt50.07,0.37656635,0010402_Ag-Au-Pd-Pt_EDX.csv,0010402
340,Ag23.53Au9.06Pd17.97Pt49.44,0.3765064,0010402_Ag-Au-Pd-Pt_EDX.csv,0010402
334,Ag18.96Au7.87Pd25.22Pt47.94,0.3755555,0010402_Ag-Au-Pd-Pt_EDX.csv,0010402
332,Ag22.34Au8.59Pd21.13Pt47.94,0.37452915,0010402_Ag-Au-Pd-Pt_EDX.csv,0010402
333,Ag20.40Au8.94Pd23.27Pt47.39,0.373769,0010402_Ag-Au-Pd-Pt_EDX.csv,0010402
337,Ag29.19Au10.12Pd12.28Pt48.41,0.37273115,0010402_Ag-Au-Pd-Pt_EDX.csv,0010402
324,Ag31.71Au11.16Cu20.32Pd8.44Pt28.36,0.29742432,EDX_0010403_Ag-Au-Cu-Pd-Pt_asdepo.csv,0010403
311,Ag34.02Au13.26Cu17.86Pd8.20Pt26.67,0.2970388,EDX_0010403_Ag-Au-Cu-Pd-Pt_asdepo.csv,0010403
296,Ag36.34Au14.98Cu15.68Pd8.13Pt24.86,0.29599005,EDX_0010403_Ag-Au-Cu-Pd-Pt_asdepo.csv,0010403
312,Ag32.38Au12.39Cu19.33Pd8.96Pt26.95,0.29572237,EDX_0010403_Ag-Au-Cu-Pd-Pt_asdepo.csv,0010403
297,Ag34.63Au14.17Cu16.93Pd9.23Pt25.04,0.294953,EDX_0010403_Ag-Au-Cu-Pd-Pt_asdepo.csv,0010403
335,Ag26.52Au9.31Cu24.69Pd9.93Pt29.54,0.29349083,EDX_0010403_Ag-Au-Cu-Pd-Pt_asdepo.csv,0010403
325,Ag29.89Au10.84Cu22.15Pd9.46Pt27.66,0.2931674,EDX_0010403_Ag-Au-Cu-Pd-Pt_asdepo.csv,0010403
280,Ag36.49Au16.05Cu15.75Pd7.89Pt23.82,0.29312724,EDX_0010403_Ag-Au-Cu-Pd-Pt_asdepo.csv,0010403
