MaterialLibrary,BaseStrategy,MixedWith,MixedStrategy,CanonicalMixedStrategy,BaseStoppingIteration,MixedStoppingIteration,ComparisonResult,ImprovementPercentage
10304,LHS,Centroids_saturation_low,Centroids_saturation_low+LHS,Centroids_saturation_low+LHS,72,75,Worse,-3.0
10304,K-Means,Centroids_saturation_low,Centroids_saturation_low+K-Means,Centroids_saturation_low+K-Means,74,73,Improved,1.0
10304,Farthest,Centroids_saturation_low,Centroids_saturation_low+Farthest,Centroids_saturation_low+Farthest,74,69,Improved,5.0
10304,K-Center,Centroids_saturation_low,Centroids_saturation_low+K-Center,Centroids_saturation_low+K-Center,76,72,Improved,4.0
10304,ODAL,Centroids_saturation_low,Centroids_saturation_low+ODAL,Centroids_saturation_low+ODAL,100,67,Improved,33.0
10304,Centroids_saturation_medium,Centroids_saturation_low,Centroids_saturation_medium+Centroids_saturation_low,Centroids_saturation_low+Centroids_saturation_medium,100,80,Improved,20.0
10275,Random,Centroids_saturation_low,Centroids_saturation_low+Random,Centroids_saturation_low+Random,87,95,Worse,-8.0
10275,Farthest,Centroids_saturation_low,Centroids_saturation_low+Farthest,Centroids_saturation_low+Farthest,66,100,Worse,-34.0
10275,K-Center,Centroids_saturation_low,Centroids_saturation_low+K-Center,Centroids_saturation_low+K-Center,73,93,Worse,-20.0
10275,ODAL,Centroids_saturation_low,Centroids_saturation_low+ODAL,Centroids_saturation_low+ODAL,78,89,Worse,-11.0
10272,Random,Centroids_saturation_low,Centroids_saturation_low+Random,Centroids_saturation_low+Random,34,100,Worse,-66.0
10272,LHS,Centroids_saturation_low,Centroids_saturation_low+LHS,Centroids_saturation_low+LHS,100,81,Improved,19.0
10272,Farthest,Centroids_saturation_low,Centroids_saturation_low+Farthest,Centroids_saturation_low+Farthest,39,57,Worse,-18.0
10272,K-Center,Centroids_saturation_low,Centroids_saturation_low+K-Center,Centroids_saturation_low+K-Center,48,47,Improved,1.0
10272,ODAL,Centroids_saturation_low,Centroids_saturation_low+ODAL,Centroids_saturation_low+ODAL,47,94,Worse,-47.0
